,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.4262295081967213,0.9590163934426229,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983
speedup≥5%,0.3524590163934426,0.8360655737704918,0.8442622950819673,0.8442622950819673,0.8442622950819673,0.8442622950819673,0.8442622950819673,0.8442622950819673,0.8442622950819673,0.8442622950819673,0.8442622950819673
speedup≥10%,0.2459016393442623,0.6147540983606558,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6229508196721312
speedup≥15%,0.1885245901639344,0.4918032786885246,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
speedup≥20%,0.13934426229508196,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637
speedup≥25%,0.08196721311475409,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.20491803278688525
speedup≥30%,0.03278688524590164,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951,0.09016393442622951
speedup≥35%,0.00819672131147541,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
speedup≥40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
