,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.21238938053097345,0.831858407079646,0.9646017699115044,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,1.0,1.0,1.0,1.0
speedup≥5%,0.20353982300884957,0.8230088495575221,0.9557522123893806,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761
speedup≥10%,0.20353982300884957,0.8230088495575221,0.9557522123893806,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761
speedup≥15%,0.13274336283185842,0.5929203539823009,0.7168141592920354,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7433628318584071,0.7522123893805309,0.7522123893805309,0.7522123893805309,0.7522123893805309
speedup≥20%,0.02654867256637168,0.3185840707964602,0.40707964601769914,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.4247787610619469,0.4247787610619469,0.4247787610619469,0.4247787610619469
speedup≥25%,0.008849557522123894,0.168141592920354,0.25663716814159293,0.25663716814159293,0.25663716814159293,0.25663716814159293,0.25663716814159293,0.26548672566371684,0.26548672566371684,0.26548672566371684,0.26548672566371684
speedup≥30%,0.008849557522123894,0.05309734513274336,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.07964601769911504
speedup≥35%,0.0,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894
speedup≥40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
